機種名,発売,世代,モデル,CPU,本体メモリ,液晶サイズ,液晶解像度,電源,連続表示時間,サイズ,重さ,OS,RAM
PW-AC830,2008.08,1,生活・教養,TMPA910CRAXBG,100MB,5型,480x320,リチウムイオン充電池,80時間,145x107.95x21.5,360g,Microsoft Windows Embedded CE 6.0 Core,64MB
PW-AC880,2008.08,1,生活・教養,TMPA910CRAXBG,100MB,5型,480x320,リチウムイオン充電池,80時間,145x107.95x21.5,360g,Microsoft Windows Embedded CE 6.0 Core,64MB
PW-TC980,2008.12,1,その他,TMPA910CRAXBG,100MB,5型,480x320,リチウムイオン充電池,80時間,145.0x107.95x22.4,379g,Microsoft Windows Embedded CE 6.0 Core,64MB
PW-GC590,2009.01,1,高校生,TMPA910CRAXBG,100MB,5型,480x320,リチウムイオン充電池,80時間,145.0x108.0x22.4,360g,Microsoft Windows Embedded CE 6.0 Core,64MB
PW-AC890,2009.01,1,生活・教養,TMPA910CRAXBG,100MB,5型,480x320,リチウムイオン充電池,80時間,145.0x108.0x22.4,360g,Microsoft Windows Embedded CE 6.0 Core,64MB
PW-AC900,2009.07,1,生活・教養,TMPA910CRAXBG,100MB,5型,480x320,リチウムイオン充電池,80時間,145.0x108.0x22.4,358g,Microsoft Windows Embedded CE 6.0 Core,64MB
PW-GC610,2010.01,1,高校生,TMPA910CRAXBG,300MB,5型,480x320,リチウムイオン充電池,100時間,145.6x105.3x20.8,324g,Microsoft Windows Embedded CE 6.0 Core,64MB
PW-AC910,2010.01,1,生活・教養,TMPA910CRAXBG,300MB,5型,480x320,リチウムイオン充電池,100時間,145.6x105.3x20.8,324g,Microsoft Windows Embedded CE 6.0 Core,64MB
PW-AC920,2010.08,1,生活・教養,TMPA910CRAXBG,300MB,5型,480x320,リチウムイオン充電池,100時間,145.6x105.3x20.8,324g,Microsoft Windows Embedded CE 6.0 Core,64MB
PW-G4000,2011.01,1,中学生,TMPA910CRAXBG,300MB,5型,480x320,単3アルカリ2本,150時間,149x114.3x19.7,348g,Microsoft Windows Embedded CE 6.0 Core,64MB
PW-G5000,2011.01,1,高校生,TMPA910CRAXBG,300MB,5型,480x320,単3アルカリ2本,150時間,149x114.3x19.7,348g,Microsoft Windows Embedded CE 6.0 Core,64MB
PW-HC1,2011.xx,1,学校専売,不明,不明,不明,不明,不明,不明,不明,不明,Microsoft Windows Embedded CE 6.0 Core,64MB
PW-A9000,2011.01,1,大学生・ビジネス,TMPA910CRAXBG,300MB,5型,480x320,単3アルカリ2本,150時間,149x114.3x19.7,348g,Microsoft Windows Embedded CE 6.0 Core,64MB
PW-A7000,2011.01,1,生活・教養,TMPA910CRAXBG,300MB,5型,480x320,単3アルカリ2本,150時間,149x114.3x19.7,348g,Microsoft Windows Embedded CE 6.0 Core,64MB
PW-G5100,2011.08,1,高校生,TMPA910CRAXBG,300MB,5型,480x320,単3アルカリ2本,150時間,149x114.3x19.7,348g,Microsoft Windows Embedded CE 6.0 Core,64MB
PW-G4200,2012.xx,2,中学生,i.MX283,150MB,5型,480x320,単3アルカリ2本,130時間,149x110.2x19.4,305g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-G5200,2012.01,2,高校生,i.MX283,150MB,5型,480x320,単3アルカリ2本,130時間,149x110.2x19.4,305g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-HC2,2012.xx,2,学校専売,不明,不明,不明,不明,不明,不明,不明,不明,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-A9200,2012.xx,2,大学生・ビジネス,i.MX283,150MB,5型,480x320,単3アルカリ2本,130時間,149x110.2x19.4,305g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-A7200,2012.xx,2,生活・教養,i.MX283,150MB,5型,480x320,単3アルカリ2本,130時間,149x110.2x19.4,305g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-A7300,2012.xx,2,生活・教養,i.MX283,150MB,5型,480x320,単3アルカリ2本,130時間,149x110.2x19.4,305g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-GX500,2012.xx,2,その他,i.MX283,不明,不明,不明,不明,不明,不明,不明,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-G5300,2013.xx,2,高校生,i.MX283,不明,不明,不明,不明,不明,不明,不明,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-HC3,2013.xx,2,学校専売,不明,不明,不明,不明,不明,不明,不明,不明,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-A9300,2013.xx,2,大学生・ビジネス,i.MX283,不明,不明,不明,不明,不明,不明,不明,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-A9100,2013.xx,2,生活・教養,i.MX283,不明,不明,不明,不明,不明,不明,不明,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-GX300,2013.xx,2,その他,i.MX283,不明,不明,不明,不明,不明,不明,不明,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-G5300,2013.01,2,高校生,i.MX283,150MB,5型,480x320,単3アルカリ2本,130時間,149x110.2x19.4,305g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-A9300,2013.01,2,大学生・ビジネス,i.MX283,不明,不明,不明,不明,不明,不明,不明,Microsoft Windows Embedded CE 6.0 Core,128MB
